Experiment,Epoch,TotalEpochs,G_Loss,D_Loss,ModeVar,FID
WGANGP,43,150,326.1071,21.8871,0.0718,
WGANGP,44,150,331.2291,81.6209,0.0654,
WGANGP,45,150,362.8039,-21.3148,0.0801,
WGANGP,46,150,350.5658,64.9281,0.0704,
WGANGP,47,150,348.2457,56.4421,0.0651,
WGANGP,48,150,328.6437,41.5084,0.0469,
WGANGP,49,150,334.6497,217.2824,0.1065,
WGANGP,50,150,328.1788,65.9442,0.05,119.3029
WGANGP,51,150,315.8302,82.1048,0.0793,
WGANGP,52,150,305.6735,19.4699,0.0715,
WGANGP,53,150,302.9011,81.1074,0.0626,
WGANGP,54,150,308.1687,-8.7588,0.0939,
WGANGP,55,150,302.857,335.9685,0.0822,
WGANGP,56,150,332.8218,777.9056,0.062,
WGANGP,57,150,313.34,43.1467,0.0728,
WGANGP,58,150,289.6573,-6.3638,0.079,
WGANGP,59,150,302.6603,131.4937,0.0924,
WGANGP,60,150,298.9681,-11.2427,0.069,121.7476
WGANGP,61,150,293.2406,213.7634,0.0547,
WGANGP,62,150,271.8472,293.6014,0.066,
WGANGP,63,150,261.2234,36.3515,0.0753,
WGANGP,64,150,290.6655,154.5204,0.0935,
WGANGP,65,150,298.8908,-10.1681,0.0725,
WGANGP,66,150,298.7567,88.8722,0.0872,
WGANGP,67,150,289.885,410.9066,0.0726,
WGANGP,68,150,273.4949,24.2388,0.0716,
WGANGP,69,150,255.0414,27.0566,0.0913,
WGANGP,70,150,242.8171,-5.5889,0.1006,128.384
WGANGP,71,150,246.7058,-33.6443,0.0855,
WGANGP,72,150,293.3244,234.7555,0.1096,
WGANGP,73,150,337.2346,-39.3034,0.0564,
WGANGP,74,150,360.7099,787.7696,0.0899,
WGANGP,75,150,414.4383,-5.0474,0.1109,
